app_id,name,total_reviews,review_score,is_free,price,release_date,all_time_peak,avg_count,day_peak,ownership,owner_range,owners_lower,owners_upper,owner_bucket,activity_bucket,review_bucket,positive_reviews,negative_reviews,players_forever,players_2weeks,steamspy_ccu
1179580,KAKU: Ancient Seal,107,6,False,2499,"Jul 11, 2024",5001,53.35466666666667,3,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,100_1k,683,218,,,71
613900,Museum of Other Realities,53,8,True,,"Feb 26, 2020",1800,24.175,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,100_1k,382,42,,,1
268420,Aura Kingdom,69,6,False,,"Jul 4, 2014",2105,234.3708609271523,2,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,1k_10k,6676,1884,,,1
783140,Removed,0,0,False,,"Apr 13, 2018",361,7.146341463414634,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,25,15,,,0
620980,Beat Saber,52912,9,False,2999,"May 21, 2019",42095,584.5245153933865,471,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,10k_100k,71341,3271,,,423
33110,Alien Shooter: Revisited,166,5,False,499,"May 27, 2009",905,14.725099601593625,9,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,100_1k,509,282,,,1
805850,Wrecked,0,0,True,,"May 21, 2018",160,7.628099173553719,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,1k_10k,1768,513,,,0
897330,Coloring Pixels,47,7,True,,"Aug 17, 2018",1535,450.30045871559633,483,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,500_5k,1k_10k,7622,297,,,505
508290,$1 Ride,84,5,False,199,"Jul 28, 2016",3537,204.86033519553072,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,100_1k,460,488,,,0
1409670,Bright Memory: Infinite Ray Tracing Benchmark,0,0,True,,"Sep 24, 2020",12,4.109090909090909,7,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,lt_100,63,4,,,3
1447430,小黑盒加速器,0,0,True,,"May 24, 2021",11047,2857.3170441001193,5170,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,500_5k,1k_10k,7088,1800,,,3328
739630,Phasmophobia,355345,8,False,1999,"Sep 18, 2020",112241,16100.6080283353,16006,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,gte_5k,gte_100k,736611,32168,,,9978
764030,Realm Revolutions,0,0,True,,"Jan 5, 2018",1147,38.92702394526796,30,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,100_1k,273,95,,,57
3117820,Sultan's Game,1252,8,False,2499,"Mar 30, 2025",45878,1743.4892812105927,2836,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,gte_5k,10k_100k,20637,1233,,,7726
39210,FINAL FANTASY XIV Online,60243,8,False,1999,"Feb 18, 2014",95102,23605.691144708424,28565,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,gte_5k,10k_100k,70254,9782,,,19824
400,Portal,81901,9,False,999,"Oct 10, 2007",3617,580.6793650793651,578,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,500_5k,gte_100k,175024,2717,,,638
242720,GunZ 2: The Second Duel,26,6,True,,"May 1, 2014",10315,93.3810623556582,7,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,10k_100k,7055,3622,,,3
1214670,Mr. Sun's Hatbox,194,8,False,449,"Apr 20, 2023",160,6.763948497854077,6,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,lt_50,100_1k,384,61,,,5
1557060,Wonhon: Prologue,0,0,True,,"Feb 28, 2021",3,0.21782178217821782,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,71,14,,,0
1966720,Lethal Company,275131,9,False,999,"Oct 23, 2023",239369,6317.038271604938,6851,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,gte_5k,gte_100k,473422,13738,,,6199
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,41513,8,False,1999,"Sep 1, 2015",90952,1639.6979051819185,1282,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,10k_100k,91675,8247,,,1333
386360,SMITE,750,6,True,,"Sep 8, 2015",31169,3382.3241455347297,1564,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,500_5k,gte_100k,94368,25428,,,1853
360,Half-Life Deathmatch: Source,1985,6,False,999,"May 1, 2006",208,28.950892857142858,43,7500000,"5,000,000 .. 10,000,000",5000000,10000000,2m_10m,lt_50,1k_10k,3657,1242,,,43
587790,Deadly Animal Duel,14,3,False,199,"Sep 12, 2017",27215,317.0916030534351,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,lt_100,16,41,,,1
444200,World of Tanks Blitz,229,6,True,,"Nov 9, 2016",56489,6673.513422818792,6233,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,gte_5k,gte_100k,116407,31754,,,5707
845070,The Awesome Adventures of Captain Spirit,0,0,True,,"Jun 25, 2018",7220,69.6062246278755,28,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,10k_100k,13218,1036,,,16
506540,Last Man Standing,18,4,False,,"Mar 29, 2017",11776,448.0147058823529,0,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,zero,10k_100k,10776,6811,,,0
1486920,Tempest Rising,5016,8,False,3999,"Apr 24, 2025",9376,359.9040404040404,374,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,500_5k,1k_10k,6276,767,,,528
2135970,Magnus Positive Phototaxis,20,7,False,99,"Nov 29, 2022",2,0.16417910447761194,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,38,2,,,0
